"","(Intercept)","Banks","Geomorph","Group","logDist","OrderClass","Region","VegFld","Banks:logDist","Geomorph:logDist","Group:logDist","logDist:OrderClass","logDist:Region","logDist:VegFld","adjR^2","df","logLik","AICc","delta","weight"
"399",-3.1790749586807,NA,"+","+",-0.0934145445369269,"+",NA,NA,NA,"+","+",NA,NA,NA,0.233215918707236,17,-851.688664850891,1738.27732970178,9.20668194224072,0.000862647680982287
"3901",-1.90581275931361,NA,NA,"+",-0.10339870896947,"+","+","+",NA,NA,"+","+","+","+",0.250932149370808,24,-844.248990304316,1738.28104152988,9.21039377033753,0.000861048165772818
"1215",-2.49424995142879,NA,"+","+",-0.152964135049936,"+","+","+",NA,"+",NA,NA,"+",NA,0.248370740493918,23,-845.334473581557,1738.30692935896,9.23628159941745,0.000849974653805342
"1120",-3.07549736635871,"+","+","+",-0.130247863314635,"+","+",NA,"+",NA,NA,NA,"+",NA,0.250900719740785,24,-844.262330148491,1738.30772121823,9.23707345868729,0.000849638190263309
"3456",-2.60932710276478,"+","+","+",-0.156160432346323,"+","+","+","+",NA,"+",NA,"+","+",0.266074997262325,30,-837.761788289745,1738.31218227664,9.24153451709935,0.000847745159480452
"864",-3.17132674253768,"+","+","+",-0.0471198455353105,"+","+",NA,"+",NA,"+","+",NA,NA,0.255919923824583,26,-842.125515329211,1738.3434300623,9.27278230275397,0.000834603013046241
"703",-2.58246669758955,NA,"+","+",-0.0601391616927811,"+","+","+",NA,"+",NA,"+",NA,NA,0.248189419741945,23,-845.411186551347,1738.46035529854,9.38970753899684,0.000787208828072009
"1440",-2.97556015459622,"+","+","+",-0.158456810667801,"+","+",NA,NA,"+","+",NA,"+",NA,0.255714880840468,26,-842.213064628186,1738.51852866025,9.44788090070551,0.00076464133392585
"2176",-2.56060232131336,"+","+","+",-0.109601665225938,"+","+","+","+",NA,NA,NA,NA,"+",0.253151042265905,25,-843.30592282182,1738.54636945316,9.47572169362093,0.000754070965957084
"2174",-1.83091613136692,"+",NA,"+",-0.114457089094962,"+","+","+","+",NA,NA,NA,NA,"+",0.245447448410235,22,-846.569205717785,1738.63767069483,9.56702293528633,0.00072042107110836
"784",-3.19542980373906,"+","+","+",-0.0515051074865293,"+",NA,NA,NA,NA,"+","+",NA,NA,0.240336164194992,20,-848.717654983663,1738.67607806186,9.60543030231929,0.000706718325561871
"159",-3.0109130254579,NA,"+","+",-0.124276650454192,"+","+",NA,NA,"+",NA,NA,NA,NA,0.235244138538539,18,-850.844938204479,1738.69724017921,9.62659241966685,0.000699279919995586
"416",-3.1358780249712,"+","+","+",-0.0870920686254352,"+","+",NA,NA,"+","+",NA,NA,NA,0.247834218754104,23,-845.561415713046,1738.76081362194,9.6901658623965,0.000677401665128492
"3134",-1.75558551185441,"+",NA,"+",-0.160383640990963,"+","+","+",NA,NA,NA,NA,"+","+",0.245285399907127,22,-846.637523700631,1738.77430666052,9.70365890097855,0.000672846943262262
"640",-2.59102551760835,"+","+","+",-0.0708890753912426,"+","+","+","+",NA,NA,"+",NA,NA,0.255405963167338,26,-842.344924909024,1738.78224922192,9.71160146238026,0.00067018017792353
"638",-1.88326126468248,"+",NA,"+",-0.0717345117875732,"+","+","+","+",NA,NA,"+",NA,NA,0.247765415154686,23,-845.590508120887,1738.81899843762,9.74835067807726,0.00065797832539745
"2622",-1.86048900787645,"+",NA,"+",-0.0942963671933071,"+","+","+",NA,NA,NA,"+",NA,"+",0.245164331872779,22,-846.688556012507,1738.87637128427,9.80572352473064,0.000639371439090611
"3136",-2.50004917664135,"+","+","+",-0.174415759791292,"+","+","+",NA,NA,NA,NA,"+","+",0.252758468257171,25,-843.4729591547,1738.88044211892,9.80979435938161,0.00063807137492147
"3903",-2.55229733883301,NA,"+","+",-0.108927410406182,"+","+","+",NA,NA,"+","+","+","+",0.257799284869584,27,-841.322040494718,1738.90079740735,9.83014964780432,0.000631610246790331
"2351",-3.05566437669889,NA,"+","+",-0.1096671533358,"+",NA,"+",NA,NA,"+",NA,NA,"+",0.234993201538365,18,-850.94943705006,1738.90623787037,9.83559011082889,0.000629894455426421
"480",-3.19776637493322,"+","+","+",-0.0617720544135418,"+","+",NA,"+","+","+",NA,NA,NA,0.255234724941091,26,-842.417995808936,1738.92839102175,9.85774326220462,0.000622955880581547
"53",-1.55101551372595,NA,NA,"+",-0.135022042398117,NA,"+","+",NA,NA,NA,NA,NA,NA,0.217208392433628,11,-858.277070933765,1738.93898151768,9.86833375813421,0.000619665893060108
"374",-1.67078526670246,"+",NA,"+",-0.0809667846303644,NA,"+","+","+",NA,"+",NA,NA,NA,0.237381852362967,19,-849.953449300287,1739.02784255338,9.95719479383388,0.000592736490097267
"2112",-2.39023023900893,"+","+","+",-0.139881217256337,"+","+","+",NA,NA,NA,NA,NA,"+",0.244924013246834,22,-846.789832450141,1739.07892415954,10.0082763999999,0.000577789219313962
"32",-3.05293981621272,"+","+","+",-0.130755068853596,"+","+",NA,NA,NA,NA,NA,NA,NA,0.234780192574894,18,-851.038116803082,1739.08359737641,10.012949616872,0.00057644072821123
"3454",-1.80222647441285,"+",NA,"+",-0.134895977812977,"+","+","+","+",NA,"+",NA,"+","+",0.257452140092699,27,-841.470593101677,1739.19790262126,10.1272548617217,0.000544419396260194
"911",-3.1604876906371,NA,"+","+",-0.075815720087853,"+",NA,NA,NA,"+","+","+",NA,NA,0.239682861579211,20,-848.991309811403,1739.22338771734,10.1527399577981,0.000537526118186911
"1309",-2.31964126324862,NA,NA,"+",-0.128102487347442,"+","+",NA,NA,NA,"+",NA,"+",NA,0.232017044787554,17,-852.186431330372,1739.27286266074,10.2022149012009,0.000524392200764794
"3519",-2.50882452898822,NA,"+","+",-0.167628352150207,"+","+","+",NA,"+","+",NA,"+","+",0.257333230073294,27,-841.521463368393,1739.2996431547,10.2289953951549,0.000517417261976407
"431",-3.10031891272567,NA,"+","+",-0.0939718191714508,"+",NA,"+",NA,"+","+",NA,NA,NA,0.237029618883004,19,-850.100497704007,1739.32193936082,10.2512916012738,0.000511681074229007
"256",-2.60468050490626,"+","+","+",-0.096993072937132,"+","+","+","+","+",NA,NA,NA,NA,0.254725002203753,26,-842.635414558502,1739.36322852088,10.2925807613369,0.000501225925744508
"192",-2.50558791796923,"+","+","+",-0.126477272279513,"+","+","+",NA,"+",NA,NA,NA,NA,0.246943067294155,23,-845.938036060068,1739.51405431598,10.4434065564392,0.000464817126307804
"2624",-2.60143693737476,"+","+","+",-0.0779431192297739,"+","+","+",NA,NA,NA,"+",NA,"+",0.252012178395765,25,-843.790277784344,1739.51507937821,10.4444316186696,0.000464578954108242
"3381",-1.54598161716211,NA,NA,"+",-0.142339557671973,NA,"+","+",NA,NA,"+",NA,"+","+",0.234221958750711,18,-851.270413495158,1739.54819076057,10.4775430010241,0.000456950846941942
"1567",-3.01506530582007,NA,"+","+",-0.0869426087981413,"+","+",NA,NA,NA,NA,"+","+",NA,0.241820591694749,21,-848.095060444831,1739.55698479499,10.4863370354453,0.000454946037025419
"2358",-1.57942791707238,"+",NA,"+",-0.111273449237322,NA,"+","+",NA,NA,"+",NA,NA,"+",0.23419555412187,18,-851.281397370222,1739.57015851069,10.4995107511522,0.000451959219817736
"816",-3.14026416840775,"+","+","+",-0.0504772536445173,"+",NA,"+",NA,NA,"+","+",NA,NA,0.244297640504162,22,-847.053663956336,1739.60658717193,10.5359394123889,0.000443801603453639
"928",-3.20780201237454,"+","+","+",-0.00510986636323772,"+","+",NA,NA,"+","+","+",NA,NA,0.254433421661669,26,-842.759725371604,1739.61185014708,10.5412023875401,0.000442635280303585
"1183",-2.94487292217497,NA,"+","+",-0.157958994595869,"+","+",NA,NA,"+",NA,NA,"+",NA,0.241731310181576,21,-848.132538062296,1739.63194002992,10.561292270376,0.000438211291396739
"813",-2.57124084070853,NA,NA,"+",-0.0531850908949497,"+",NA,"+",NA,NA,"+","+",NA,NA,0.22893601078067,16,-853.462414062967,1739.72365338291,10.6530056233676,0.000418570158232666
"797",-2.42262102102866,NA,NA,"+",-0.0514667228162057,"+","+",NA,NA,NA,"+","+",NA,NA,0.231416999418878,17,-852.43530084133,1739.77060168266,10.6999539231174,0.000408859006054532
"272",-3.16329821313766,"+","+","+",-0.100249394553699,"+",NA,NA,NA,NA,"+",NA,NA,NA,0.231273341623774,17,-852.494856757461,1739.88971351492,10.8190657553796,0.000385219943122301
"2496",-2.51261437417506,"+","+","+",-0.091697037740966,"+","+","+",NA,"+","+",NA,NA,"+",0.2565818393632,27,-841.842740505777,1739.94219742946,10.8715496699215,0.000375242504164039
"1598",-1.81985957566118,"+",NA,"+",-0.0877400421971937,"+","+","+",NA,NA,NA,"+","+",NA,0.24635256774154,23,-846.187370558719,1740.01272331328,10.9420755537421,0.000362240933584286
"285",-2.37857469540675,NA,NA,"+",-0.102749108970372,"+","+",NA,NA,NA,"+",NA,NA,NA,0.223493666059953,14,-855.704976861715,1740.02488783763,10.954240078089,0.000360044376047286
"2607",-3.07909334061851,NA,"+","+",-0.0937002647126686,"+",NA,"+",NA,NA,NA,"+",NA,"+",0.236151504317773,19,-850.466818376323,1740.05458070545,10.9839329459064,0.000354738485251126
"2239",-2.47184632335572,NA,"+","+",-0.127134393049958,"+","+","+",NA,"+",NA,NA,NA,"+",0.2437451393258,22,-847.286214933495,1740.07168912625,11.0010413667078,0.000351716919590378
"3007",-2.6293538670362,NA,"+","+",-0.0290100965309954,"+","+","+",NA,"+","+","+",NA,"+",0.256398175070717,27,-841.921226111265,1740.09916864044,11.0285208808991,0.000346917461744868
