"","(Intercept)","Banks","Geomorph","Group","logDist","OrderClass","Region","VegFld","Banks:logDist","Geomorph:logDist","Group:logDist","logDist:OrderClass","logDist:Region","logDist:VegFld","adjR^2","df","logLik","AICc","delta","weight"
"1696",-3.08038981608794,"+","+","+",-0.0781705260045027,"+","+",NA,NA,"+",NA,"+","+",NA,0.24809814671799,27,-845.449795855194,1747.1563081283,18.0856603687571,1.01809379693143e-05
"46",-2.48424683764155,"+",NA,"+",-0.129970192671998,"+",NA,"+",NA,NA,NA,NA,NA,NA,0.214752728158902,14,-859.276863868405,1747.16866185101,18.0980140914705,1.01182455475236e-05
"110",-2.51209147344813,"+",NA,"+",-0.102547225697916,"+",NA,"+","+",NA,NA,NA,NA,NA,0.222446378775011,17,-856.134871786858,1747.16974357372,18.0990958141747,1.01127744592396e-05
"3328",-2.57809916589083,"+","+","+",-0.181004829073563,"+","+","+","+","+",NA,NA,"+","+",0.258269907173915,31,-841.120547503835,1747.22007398665,18.1494262271074,9.86145985668478e-06
"2424",-1.53522830393103,"+","+","+",-0.0882101517602113,NA,"+","+","+",NA,"+",NA,NA,"+",0.240287124476735,24,-848.738204148533,1747.25946921831,18.1888214587714,9.66911321313562e-06
"208",-3.16145058481853,"+","+","+",-0.102313575147074,"+",NA,NA,"+","+",NA,NA,NA,NA,0.232570102065336,21,-851.956892912444,1747.28064973021,18.2100019706716,9.56725513294475e-06
"656",-3.1135838057745,"+","+","+",-0.105518620548785,"+",NA,NA,NA,"+",NA,"+",NA,NA,0.232568409299901,21,-851.957595700617,1747.28205530656,18.2114075470165,9.56053374132818e-06
"2672",-3.12047757040771,"+","+","+",-0.0839035109587304,"+",NA,"+","+",NA,NA,"+",NA,"+",0.242785061485786,25,-847.689949091003,1747.31442199153,18.2437742319885,9.40705757771302e-06
"3710",-1.78969033303038,"+",NA,"+",-0.135888833925809,"+","+","+","+",NA,NA,"+","+","+",0.250469828478186,28,-844.445164211983,1747.31783216089,18.2471844013448,9.39103141483567e-06
"1792",-2.78889788390347,"+","+","+",0.0144297959479898,"+","+","+","+","+",NA,"+","+",NA,0.260518654381921,32,-840.156156048326,1747.48825194628,18.4176041867333,8.62396741999215e-06
"176",-3.03597000235194,"+","+","+",-0.129902156171016,"+",NA,"+",NA,"+",NA,NA,NA,NA,0.229637142209073,20,-853.172456482968,1747.58568106047,18.5150333009278,8.21392331197068e-06
"262",-2.2174802102829,"+",NA,"+",-0.103503931999081,NA,NA,NA,NA,NA,"+",NA,NA,NA,0.206536706747519,11,-862.601243761012,1747.58732717217,18.5166794126271,8.20716557571884e-06
"2104",-1.42808001719704,"+","+","+",-0.145434793621562,NA,"+","+",NA,NA,NA,NA,NA,"+",0.226957344464159,19,-854.279407865621,1747.67975968405,18.6091119245029,7.83649264413556e-06
"240",-3.09985991969529,"+","+","+",-0.101307768710344,"+",NA,"+","+","+",NA,NA,NA,NA,0.237208091642436,23,-850.025997668061,1747.68997753197,18.6193297724258,7.79655869570546e-06
"280",-1.87379587250895,"+","+","+",-0.102913836320936,NA,"+",NA,NA,NA,"+",NA,NA,NA,0.22179501450757,17,-856.401979703927,1747.70395940785,18.6333116483111,7.74224351593607e-06
"3775",-2.55896298283246,NA,"+","+",-0.115438876180151,"+","+","+",NA,"+",NA,"+","+","+",0.249951977231093,28,-844.66477013561,1747.75704400814,18.6863962485991,7.5394497763362e-06
"1046",-1.95418592459314,"+",NA,"+",-0.148007298908927,NA,"+",NA,NA,NA,NA,NA,"+",NA,0.216530586754517,15,-858.553317317331,1747.81044695138,18.7397991918344,7.34079930457577e-06
"1464",-1.41621503979374,"+","+","+",-0.168946266642683,NA,"+","+",NA,"+","+",NA,"+",NA,0.242128622129829,25,-847.96572789264,1747.8659795948,18.7953318352625,7.1397760625043e-06
"3127",-1.42550590064516,NA,"+","+",-0.154628806584575,NA,"+","+",NA,NA,NA,NA,"+","+",0.226693408006233,19,-854.38824312926,1747.89743021132,18.8267824517807,7.0283790547246e-06
"2414",-2.52054488891814,"+",NA,"+",-0.089745221059067,"+",NA,"+","+",NA,"+",NA,NA,"+",0.231738287763334,21,-852.302068201026,1747.97100030738,18.9003525478349,6.77453720886825e-06
"688",-3.04752231752918,"+","+","+",-0.1096573953183,"+",NA,"+",NA,"+",NA,"+",NA,NA,0.236852911548558,23,-850.1742451323,1747.98647246045,18.9158247009045,6.72233106625434e-06
"86",-2.04615450666679,"+",NA,"+",-0.111758429342935,NA,"+",NA,"+",NA,NA,NA,NA,NA,0.216304161699879,15,-858.645550378283,1747.99491307328,18.9242653137401,6.69402055085774e-06
"3190",-1.55073070398859,"+",NA,"+",-0.160600549006544,NA,"+","+","+",NA,NA,NA,"+","+",0.234232366923529,22,-851.266083777867,1748.03142681499,18.9607790554519,6.57291752703935e-06
"878",-2.5719778287209,"+",NA,"+",-0.0510416834864156,"+",NA,"+","+",NA,"+","+",NA,NA,0.234192316572352,22,-851.282744111789,1748.06474748284,18.9940997232952,6.46431769291293e-06
"2816",-2.74999805290729,"+","+","+",-0.0154828909783655,"+","+","+","+","+",NA,"+",NA,"+",0.257274288913167,31,-841.54667592615,1748.07233083128,19.001683071737,6.43985351556595e-06
"2480",-3.05275312976065,"+","+","+",-0.096526128768164,"+",NA,"+",NA,"+","+",NA,NA,"+",0.239254244523112,24,-849.170732049099,1748.12452501945,19.0538772599045,6.2739660575962e-06
"1760",-3.28549974170018,"+","+","+",0.0179850689346647,"+","+",NA,"+","+",NA,"+","+",NA,0.254494312192082,30,-842.733769301927,1748.25614430101,19.1854965414632,5.87437140236898e-06
"2992",-3.03386302481111,"+","+","+",-0.111299791721755,"+",NA,"+",NA,"+","+","+",NA,"+",0.246634496919193,27,-846.068350064157,1748.39341654623,19.3227687866829,5.48470295485445e-06
"407",-1.85031505149473,NA,"+","+",-0.0978879377866454,NA,"+",NA,NA,"+","+",NA,NA,NA,0.220927547571706,17,-856.757388705768,1748.41477741154,19.3441296519932,5.42643566811376e-06
"504",-1.55023482616732,"+","+","+",-0.0813605598623267,NA,"+","+","+","+","+",NA,NA,NA,0.24144697748041,25,-848.251865324655,1748.43825445883,19.3676066992916,5.36310972836719e-06
"14",-2.46549010891837,"+",NA,"+",-0.132497803628887,"+",NA,NA,NA,NA,NA,NA,NA,NA,0.207971565354,12,-862.022946446558,1748.50136734567,19.4307195861277,5.19651150810771e-06
"526",-2.5052508267727,"+",NA,"+",-0.0770477207244119,"+",NA,NA,NA,NA,NA,"+",NA,NA,0.215412588213224,15,-859.008491401147,1748.72079511901,19.6501473594683,4.65654450230041e-06
"2544",-3.12021181393792,"+","+","+",-0.0746605201217624,"+",NA,"+","+","+","+",NA,NA,"+",0.24622848095687,27,-846.239742734724,1748.73620188736,19.665554127816,4.62081116160967e-06
"976",-3.2000374488807,"+","+","+",-0.051954449786305,"+",NA,NA,"+","+","+","+",NA,NA,0.243603219632813,26,-847.345924756854,1748.78424891758,19.7136011580401,4.51112582369291e-06
"2606",-2.46826081220185,"+",NA,"+",-0.119747911012961,"+",NA,"+",NA,NA,NA,"+",NA,"+",0.225547670485941,19,-854.860299565928,1748.84154308466,19.7708953251167,4.38372871547835e-06
"23",-1.80307656336235,NA,"+","+",-0.134534542659659,NA,"+",NA,NA,NA,NA,NA,NA,NA,0.207524404606956,12,-862.203270393529,1748.86201523961,19.7913674800714,4.33908540470088e-06
"1565",-2.37557866679261,NA,NA,"+",-0.087028341779306,"+","+",NA,NA,NA,NA,"+","+",NA,0.222897201964298,18,-855.949880881418,1748.90712553309,19.8364777735451,4.24231216661019e-06
"2488",-1.49798529842615,"+","+","+",-0.102581235456479,NA,"+","+",NA,"+","+",NA,NA,"+",0.238142663861525,24,-849.635618498189,1749.05429791763,19.9836501580837,3.94134584754513e-06
"344",-1.91529090538466,"+","+","+",-0.0796977172576446,NA,"+",NA,"+",NA,"+",NA,NA,NA,0.22779413814006,20,-853.934128064714,1749.10902422396,20.0383764644212,3.8349603565296e-06
"184",-1.45159189088856,"+","+","+",-0.141245094824088,NA,"+","+",NA,"+",NA,NA,NA,NA,0.227757824720854,20,-853.949118886783,1749.1390058681,20.0683581085596,3.77789990826656e-06
"326",-2.24758951824284,"+",NA,"+",-0.0815908198867177,NA,NA,NA,"+",NA,"+",NA,NA,NA,0.212212943374897,14,-860.307901221418,1749.23073655704,20.1600887974953,3.60853881835206e-06
"2168",-1.48678309769074,"+","+","+",-0.119485975559837,NA,"+","+","+",NA,NA,NA,NA,"+",0.232644101045378,22,-851.926169252587,1749.35159776443,20.2809500048916,3.39693083123385e-06
"1047",-1.79141887228621,NA,"+","+",-0.140866546275668,NA,"+",NA,NA,NA,NA,NA,"+",NA,0.214634434725966,15,-859.324953324385,1749.35371896549,20.2830712059442,3.39332995448977e-06
"261",-2.05810056821611,NA,NA,"+",-0.105923458135283,NA,NA,NA,NA,NA,"+",NA,NA,NA,0.196615223679994,8,-866.57393444108,1749.35686743078,20.2862196712392,3.3879922661756e-06
"2094",-2.43669709611541,"+",NA,"+",-0.146447053583831,"+",NA,"+",NA,NA,NA,NA,NA,"+",0.217181382869493,16,-858.288083131814,1749.3749915206,20.3043437610611,3.35742882091564e-06
"1207",-1.39837477166624,NA,"+","+",-0.169313458706253,NA,"+","+",NA,"+",NA,NA,"+",NA,0.227458169955661,20,-854.072797102936,1749.38636230041,20.315714540865,3.33839468850386e-06
"78",-2.48461569240215,"+",NA,"+",-0.108317701900379,"+",NA,NA,"+",NA,NA,NA,NA,NA,0.21453568534832,15,-859.365092523257,1749.43399736323,20.3633496036866,3.25982178873654e-06
"1008",-3.14395556931489,"+","+","+",-0.0547304749799397,"+",NA,"+","+","+","+","+",NA,NA,0.2478933109981,28,-845.536427647312,1749.50035903154,20.4297112720019,3.15343297803156e-06
"4096",-2.81469569313107,"+","+","+",0.0170546867830444,"+","+","+","+","+","+","+","+","+",0.268428770622887,36,-836.742513879168,1749.51528494442,20.4446371848744,3.12998664340043e-06
"1144",-1.44115453806673,"+","+","+",-0.136249771363238,NA,"+","+","+",NA,NA,NA,"+",NA,0.234924943218545,23,-850.977856762843,1749.59369572153,20.5230479619895,3.00964866302684e-06
"2158",-2.47470349553446,"+",NA,"+",-0.121436785852736,"+",NA,"+","+",NA,NA,NA,NA,"+",0.224432405151565,19,-855.319188685552,1749.75932132391,20.6886735643648,2.77045217656346e-06
"846",-2.53619219151683,"+",NA,"+",-0.0520385945251202,"+",NA,NA,"+",NA,"+","+",NA,NA,0.226931229523174,20,-854.290177980012,1749.82112405456,20.7504762950157,2.68615064608224e-06
"2926",-2.52505805265695,"+",NA,"+",-0.0864822944224611,"+",NA,"+","+",NA,"+","+",NA,"+",0.237193640653182,24,-850.032030548561,1749.84712201837,20.7764742588286,2.65145938645464e-06
"294",-2.14783329949673,"+",NA,"+",-0.102340687731305,NA,NA,"+",NA,NA,"+",NA,NA,NA,0.208862796101253,13,-861.663266795814,1749.85869733432,20.7880495747768,2.63615796879216e-06
"2231",-1.42988371756576,NA,"+","+",-0.135227886909631,NA,"+","+",NA,"+",NA,NA,NA,"+",0.224140959504764,19,-855.439008070999,1749.9989600948,20.9283123352589,2.45761449520178e-06
"3128",-1.42955646253688,"+","+","+",-0.164843368678049,NA,"+","+",NA,NA,NA,NA,"+","+",0.231819266886403,22,-852.268479552366,1750.03621836399,20.9655706044496,2.41225507912512e-06
"1118",-2.23674703387266,"+",NA,"+",-0.131206136055926,"+","+",NA,"+",NA,NA,NA,"+",NA,0.229229200605017,21,-853.341192760023,1750.04924942537,20.9786016658293,2.39658904879736e-06
"3776",-2.5670424916609,"+","+","+",-0.103916385063161,"+","+","+",NA,"+",NA,"+","+","+",0.254911415507706,31,-842.555916946618,1750.09081287222,21.0201651126729,2.34729775106892e-06
"1431",-1.7696987415497,NA,"+","+",-0.15518829858095,NA,"+",NA,NA,"+","+",NA,"+",NA,0.226565132497314,20,-854.441125799553,1750.12301969364,21.0523719340981,2.3098009746158e-06
"6",-2.18507564633207,"+",NA,"+",-0.133894759231472,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.198064156794527,9,-865.996575069518,1750.25477804601,21.1841302864707,2.16253725292276e-06
"3511",-1.41494583204703,NA,"+","+",-0.16148000811797,NA,"+","+",NA,"+","+",NA,"+","+",0.236632933406837,24,-850.266029525149,1750.31511997155,21.2444722120033,2.09826586222881e-06
"3448",-1.46744483051807,"+","+","+",-0.140965700372324,NA,"+","+","+",NA,"+",NA,"+","+",0.244272243511701,27,-847.064357097441,1750.38543061279,21.314782853251,2.02578221112291e-06
"2288",-3.08799338150587,"+","+","+",-0.10534043144989,"+",NA,"+","+","+",NA,NA,NA,"+",0.239090448159509,25,-849.239274052896,1750.41307191531,21.3424241557727,1.99797716615376e-06
"408",-1.8761004159068,"+","+","+",-0.101456480072053,NA,"+",NA,NA,"+","+",NA,NA,NA,0.226021302549892,20,-854.665235367602,1750.57123882974,21.5005910701975,1.8460565964891e-06
"293",-1.97302329419665,NA,NA,"+",-0.104696341104135,NA,NA,"+",NA,NA,"+",NA,NA,NA,0.200238678185455,10,-865.128292707146,1750.57681831094,21.5061705514017,1.84091375438121e-06
"2736",-3.00020897489985,"+","+","+",-0.141100903586412,"+",NA,"+",NA,"+",NA,"+",NA,"+",0.238830259342245,25,-849.348124644383,1750.63077309829,21.5601253387472,1.79191460565388e-06
"264",-2.28518665961194,"+","+","+",-0.103257582610253,NA,NA,NA,NA,NA,"+",NA,NA,NA,0.210314392236243,14,-861.076642201396,1750.76821851699,21.6975707574518,1.6729055266266e-06
"248",-1.49431513558536,"+","+","+",-0.115070694941033,NA,"+","+","+","+",NA,NA,NA,NA,0.233509980600771,23,-851.566463315799,1750.77090882744,21.7002610679019,1.67065672185125e-06
"606",-2.31391042655597,"+",NA,"+",-0.0758710840925079,"+","+",NA,"+",NA,NA,"+",NA,NA,0.228290005190232,21,-853.729360915564,1750.82558573645,21.7549379769109,1.62560221543172e-06
"1368",-1.82134284114952,"+","+","+",-0.122479311203647,NA,"+",NA,"+",NA,"+",NA,"+",NA,0.233430673594745,23,-851.599424666048,1750.83683152794,21.7661837684,1.61648727385094e-06
"2224",-3.00915329968483,"+","+","+",-0.13208746670004,"+",NA,"+",NA,"+",NA,NA,NA,"+",0.230848135256371,22,-852.671074149973,1750.84140755921,21.7707597996641,1.61279295364216e-06
"263",-2.15053966480066,NA,"+","+",-0.105609884212286,NA,NA,NA,NA,NA,"+",NA,NA,NA,0.202445170341617,11,-864.245030828071,1750.87490130629,21.8042535467457,1.58600861693657e-06
"622",-2.53311761199558,"+",NA,"+",-0.0760881488836343,"+",NA,"+","+",NA,NA,"+",NA,NA,0.225612164069913,20,-854.833744453597,1750.90825700173,21.8376092421868,1.55977676022675e-06
"1110",-1.98735668352566,"+",NA,"+",-0.13543945586984,NA,"+",NA,"+",NA,NA,NA,"+",NA,0.220360472172498,18,-856.989529111302,1750.98642199285,21.9157742333127,1.4999926574151e-06
"24",-1.81867483726307,"+","+","+",-0.135263651590563,NA,"+",NA,NA,NA,NA,NA,NA,NA,0.212606256338232,15,-860.148433199092,1751.0006787149,21.9300309553566,1.48933818779165e-06
"1208",-1.39110439625085,"+","+","+",-0.189801002116703,NA,"+","+",NA,"+",NA,NA,"+",NA,0.233175319537499,23,-851.705533042965,1751.04904828178,21.9784005222336,1.45375093582045e-06
"70",-2.21909402635458,"+",NA,"+",-0.10871847564942,NA,NA,NA,"+",NA,NA,NA,NA,NA,0.204716105982675,12,-863.333631816815,1751.12273808618,22.0520903266427,1.40116238393656e-06
"358",-2.18071965710259,"+",NA,"+",-0.0790782253611819,NA,NA,"+","+",NA,"+",NA,NA,NA,0.214915944944292,16,-859.210500983017,1751.21982722301,22.1491794634665,1.33476813879456e-06
"720",-3.16651897488249,"+","+","+",-0.0808271443667149,"+",NA,NA,"+","+",NA,"+",NA,NA,0.235477298005518,24,-850.747814487645,1751.27868989654,22.2080421369953,1.296056588831e-06
"1566",-2.2426935139207,"+",NA,"+",-0.0962662391765347,"+","+",NA,NA,NA,NA,"+","+",NA,0.22751151231043,21,-854.050784015729,1751.46843193678,22.3977841772414,1.1787508087521e-06
"1048",-1.78773352252807,"+","+","+",-0.148083388378658,NA,"+",NA,NA,NA,NA,NA,"+",NA,0.219751810656986,18,-857.238521695871,1751.48440716199,22.4137594024505,1.16937290731699e-06
"88",-1.86647256465558,"+","+","+",-0.108253112125267,NA,"+",NA,"+",NA,NA,NA,NA,NA,0.219707109155388,18,-857.256801283538,1751.52096633733,22.4503185777849,1.14819143681618e-06
"5",-2.03563326892377,NA,NA,"+",-0.134470454789299,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.188607479295385,6,-869.747684353691,1751.61693165963,22.5462839000834,1.09439902791945e-06
"1886",-2.25436550386527,"+",NA,"+",-0.0867048555036776,"+","+",NA,"+",NA,"+","+","+",NA,0.240223174120832,26,-848.764999516059,1751.62239843599,22.5517506764513,1.09141169517797e-06
"3056",-3.09583249843671,"+","+","+",-0.0868845572973051,"+",NA,"+","+","+","+","+",NA,"+",0.250367387666237,30,-844.488617400026,1751.7658404972,22.6951927376622,1.01587566110488e-06
"752",-3.10846651162074,"+","+","+",-0.0839393971556884,"+",NA,"+","+","+",NA,"+",NA,NA,0.240039463731117,26,-848.841963211333,1751.77632582654,22.7056780669977,1.01056370224589e-06
"3840",-2.77836343430708,"+","+","+",-0.0115347179350753,"+","+","+","+","+",NA,"+","+","+",0.260616789531352,34,-840.114009335393,1751.81776226053,22.7471145009868,9.89842023511186e-07
"1432",-1.76357499244396,"+","+","+",-0.169978117739723,NA,"+",NA,NA,"+","+",NA,"+",NA,0.232183871717416,23,-852.117208127601,1751.87239845105,22.8017506915048,9.63167433189636e-07
"151",-1.80705806989462,NA,"+","+",-0.134837579118601,NA,"+",NA,NA,"+",NA,NA,NA,NA,0.211475993212874,15,-860.606500289631,1751.91681289598,22.8461651364353,9.42013909565505e-07
"3512",-1.40764918292124,"+","+","+",-0.182585738594201,NA,"+","+",NA,"+","+",NA,"+","+",0.242253996093947,27,-847.913073475416,1752.08286336874,23.0122156092011,8.66961703112333e-07
"2670",-2.47961504050113,"+",NA,"+",-0.11697541325772,"+",NA,"+","+",NA,NA,"+",NA,"+",0.229264014797872,22,-853.326795800991,1752.15285086124,23.0822031016996,8.37148151512658e-07
"2232",-1.44018472866752,"+","+","+",-0.140411856683934,NA,"+","+",NA,"+",NA,NA,NA,"+",0.229155398457636,22,-853.371710719384,1752.24268069803,23.1720329384852,8.0037961945488e-07
"2342",-2.12993375689638,"+",NA,"+",-0.116044208708035,NA,NA,"+",NA,NA,"+",NA,NA,"+",0.211058900970623,15,-860.775385485843,1752.2545832884,23.1839355288596,7.95630469890253e-07
"2552",-1.54745450060663,"+","+","+",-0.0839367658087564,NA,"+","+","+","+","+",NA,NA,"+",0.242013784749465,27,-848.013950197499,1752.28461681291,23.2139690533659,7.83771937507152e-07
"38",-2.11274825293554,"+",NA,"+",-0.132666263061606,NA,NA,"+",NA,NA,NA,NA,NA,NA,0.20060604268315,11,-864.981391206222,1752.34762206259,23.2769743030476,7.5946592588684e-07
"295",-2.10466959815573,NA,"+","+",-0.103912536707566,NA,NA,"+",NA,NA,"+",NA,NA,NA,0.205759338892838,13,-862.914149966558,1752.36046367581,23.2898159162633,7.54605163757733e-07
"328",-2.30449817868713,"+","+","+",-0.0808265234674878,NA,NA,NA,"+",NA,"+",NA,NA,NA,0.216061246063497,17,-858.744473696211,1752.38894739242,23.3182996328796,7.43934350406039e-07
"1528",-1.45304554314587,"+","+","+",-0.144203541615027,NA,"+","+","+","+","+",NA,"+",NA,0.244430321524292,28,-846.997794657073,1752.42309305107,23.352445291524,7.31341093368969e-07
"37",-1.94878974258498,NA,NA,"+",-0.133214391189278,NA,NA,"+",NA,NA,NA,NA,NA,NA,0.192577862968997,8,-868.177689411892,1752.56437737241,23.4937296128635,6.81460168245372e-07
"2341",-1.96063331528473,NA,NA,"+",-0.117606938414227,NA,NA,"+",NA,NA,"+",NA,NA,"+",0.202666491702541,12,-864.156312099221,1752.768098651,23.6974508914539,6.15464435792063e-07
"296",-2.23719762960942,"+","+","+",-0.10160099135076,NA,NA,"+",NA,NA,"+",NA,NA,NA,0.212953276529116,16,-860.007673965452,1752.81417318788,23.7435254283371,6.01447887753091e-07
"102",-2.14992465115379,"+",NA,"+",-0.106014470489027,NA,NA,"+","+",NA,NA,NA,NA,NA,0.207696421937514,14,-862.133912978828,1752.88276007186,23.8121123123162,5.81171824585785e-07
"590",-2.50661366563248,"+",NA,"+",-0.077008205778026,"+",NA,NA,"+",NA,NA,"+",NA,NA,0.217888377787061,18,-857.999716312935,1753.00679639612,23.9361486365788,5.46223531539762e-07
"472",-1.91269703433345,"+","+","+",-0.0804731920201777,NA,"+",NA,"+","+","+",NA,NA,NA,0.230720353443977,23,-852.724013118899,1753.08600843364,24.0153606741014,5.25012604895084e-07
"3192",-1.43693972583092,"+","+","+",-0.159466378675202,NA,"+","+","+",NA,NA,NA,"+","+",0.235719489805651,25,-850.646899680493,1753.22832317051,24.1576754109678,4.88952282637054e-07
"7",-2.11453597281201,NA,"+","+",-0.134917809245552,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.194082284091447,9,-867.580951472525,1753.42353085203,24.3528830924845,4.43483706413644e-07
"3255",-1.39296356079646,NA,"+","+",-0.183449721575929,NA,"+","+",NA,"+",NA,NA,"+","+",0.227683071348137,22,-853.979976374959,1753.45921200918,24.3885642496352,4.35641860035597e-07
"2800",-3.06370978148267,"+","+","+",-0.117106973219453,"+",NA,"+","+","+",NA,"+",NA,"+",0.243019237653641,28,-847.591515844728,1753.61053542638,24.5398876668337,4.03896547757003e-07
"8",-2.24149727954709,"+","+","+",-0.134298618734488,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.201464403908038,12,-864.637909001374,1753.7312924553,24.6606446957596,3.80231493553148e-07
"1175",-1.76242716571348,NA,"+","+",-0.172499963203847,NA,"+",NA,NA,"+",NA,NA,"+",NA,0.216970064863822,18,-858.374228610466,1753.75582099118,24.6851732316409,3.75596711833037e-07
"391",-2.1584325295796,NA,"+","+",-0.103277216372882,NA,NA,NA,NA,"+","+",NA,NA,NA,0.206517913202871,14,-862.60881185111,1753.83255781642,24.7619100568788,3.61458624586295e-07
"392",-2.28542680988537,"+","+","+",-0.105856759032261,NA,NA,NA,NA,"+","+",NA,NA,NA,0.214135530081558,17,-859.527698580295,1753.95539716059,24.884749401047,3.39925986842069e-07
"152",-1.82190463818957,"+","+","+",-0.139369626779978,NA,"+",NA,NA,"+",NA,NA,NA,NA,0.216653003985861,18,-858.503441145242,1754.01424606073,24.9435983011927,3.30069572527821e-07
"2406",-2.16344420197642,"+",NA,"+",-0.0949365261024889,NA,NA,"+","+",NA,"+",NA,NA,"+",0.216429820697914,18,-858.594366853202,1754.19609747666,25.125449717113,3.01381754980499e-07
"2343",-2.09543792665218,NA,"+","+",-0.117702424614424,NA,NA,"+",NA,NA,"+",NA,NA,"+",0.208644781465508,15,-861.751286600533,1754.20638551778,25.1357377582401,2.99835421630466e-07
"1112",-1.80363290405321,"+","+","+",-0.135570443882729,NA,"+",NA,"+",NA,NA,NA,"+",NA,0.224088464436435,21,-855.46058551735,1754.28803494002,25.2173871804828,2.8784122281441e-07
"2086",-2.09217732829727,"+",NA,"+",-0.149446574353038,NA,NA,"+",NA,NA,NA,NA,NA,"+",0.203302342361663,13,-863.901299895216,1754.33476353312,25.2641157735789,2.81193971685564e-07
"2085",-1.93331782247161,NA,NA,"+",-0.14899088182558,NA,NA,"+",NA,NA,NA,NA,NA,"+",0.195419199125107,10,-867.049798253416,1754.41982940348,25.3491816439418,2.69484745750239e-07
"72",-2.26384004000694,"+","+","+",-0.108130675212715,NA,NA,NA,"+",NA,NA,NA,NA,NA,0.208298954713671,15,-861.890862914509,1754.48553814573,25.4148903861917,2.60774856318283e-07
"360",-2.25965464632268,"+","+","+",-0.079856049406452,NA,NA,"+","+",NA,"+",NA,NA,NA,0.218543266183517,19,-857.732389793759,1754.58572354032,25.5150757807787,2.48033723379358e-07
"2296",-1.49498048660435,"+","+","+",-0.11730326786538,NA,"+","+","+","+",NA,NA,NA,"+",0.233950082668971,25,-851.383492764593,1754.70150933871,25.6308615791672,2.34082079066281e-07
"39",-2.0684688118722,NA,"+","+",-0.133541360527448,NA,NA,"+",NA,NA,NA,NA,NA,NA,0.197533524869576,11,-866.208127930957,1754.80109551206,25.7304477525167,2.22711838636087e-07
"2344",-2.22191292280909,"+","+","+",-0.116209093010286,NA,NA,"+",NA,NA,"+",NA,NA,"+",0.215614779829067,18,-858.92621648557,1754.85979674139,25.7891489818485,2.16270106117065e-07
"1272",-1.41830239131298,"+","+","+",-0.166090086920266,NA,"+","+","+","+",NA,NA,"+",NA,0.236001638104327,26,-850.529299265428,1755.15099793473,26.0803501751884,1.86966138157089e-07
"3256",-1.37921038586337,"+","+","+",-0.206556223332257,NA,"+","+",NA,"+",NA,NA,"+","+",0.233331483517285,25,-851.640645380289,1755.2158145701,26.1451668105587,1.81004013200543e-07
"423",-2.1110040270672,NA,"+","+",-0.102020680407632,NA,NA,"+",NA,"+","+",NA,NA,NA,0.209971867491333,16,-861.215153524872,1755.22913230672,26.1584845471777,1.79802735327501e-07
"1630",-2.26009993965587,"+",NA,"+",-0.0966698379631412,"+","+",NA,"+",NA,NA,"+","+",NA,0.230503489143214,24,-852.813839865757,1755.41074065276,26.3400928932203,1.64195232530355e-07
"1176",-1.74938354638615,"+","+","+",-0.189289825425778,NA,"+",NA,NA,"+",NA,NA,"+",NA,0.222597779386856,21,-856.072756955209,1755.51237781574,26.441730056202,1.56059536797202e-07
"2150",-2.12997172551276,"+",NA,"+",-0.125114829179066,NA,NA,"+","+",NA,NA,NA,NA,"+",0.209551657874425,16,-861.385004267884,1755.56883379274,26.4981860332007,1.51715884689813e-07
"40",-2.19321308669812,"+","+","+",-0.13295082565634,NA,NA,"+",NA,NA,NA,NA,NA,NA,0.204176332104071,14,-863.55047604049,1755.71588619518,26.6452384356405,1.40961018957e-07
"216",-1.86393838386024,"+","+","+",-0.113509553139779,NA,"+",NA,"+","+",NA,NA,NA,NA,0.222223407712952,21,-856.226329561826,1755.81952302898,26.7488752694346,1.33842665755598e-07
"424",-2.23653561942631,"+","+","+",-0.104784205750014,NA,NA,"+",NA,"+","+",NA,NA,NA,0.216702399441718,19,-858.483314049351,1756.08757205151,27.0169242919628,1.17054596498578e-07
"2087",-2.05609783570609,NA,"+","+",-0.150342497446934,NA,NA,"+",NA,NA,NA,NA,NA,"+",0.200813243774345,13,-864.898508473575,1756.32918068984,27.2585329302974,1.03734644519881e-07
"1496",-1.80288534509568,"+","+","+",-0.145937483089644,NA,"+",NA,"+","+","+",NA,"+",NA,0.234387132373918,26,-851.201696240287,1756.49579188445,27.4251441249057,9.54431274707312e-08
"135",-2.11545910591528,NA,"+","+",-0.13850632347817,NA,NA,NA,NA,"+",NA,NA,NA,NA,0.197875114844761,12,-866.071957206948,1756.59938886645,27.5287411069078,9.06251759983945e-08
"3576",-1.44646829587554,"+","+","+",-0.159436181493848,NA,"+","+","+","+","+",NA,"+","+",0.244647793979174,30,-846.90620204828,1756.60100979371,27.5303620341701,9.05517573447713e-08
"104",-2.21937516160698,"+","+","+",-0.107454889530799,NA,NA,"+","+",NA,NA,NA,NA,NA,0.210816054952775,17,-860.873678855046,1756.64735771009,27.5767099505492,8.84774425782543e-08
"456",-2.30357886832121,"+","+","+",-0.0858104412162389,NA,NA,NA,"+","+","+",NA,NA,NA,0.218594874883976,20,-857.711314330714,1756.66339675596,27.5927489964206,8.77707332216853e-08
