"","(Intercept)","Banks","Geomorph","Group","logDist","OrderClass","Region","VegFld","Banks:logDist","Geomorph:logDist","Group:logDist","logDistxOrderClass","logDistxRegion","logDist:VegFld","adjR^2","df","logLik","AICc","delta","weight"
"1431",-0.487875518276461,NA,"+","+",-0.213520378458235,NA,"+",NA,NA,NA,"+",NA,NA,NA,0.325029604319331,14,-349.828873965003,729.311291237092,12.8640901789358,0.00021871869747794
"397",-1.03919246023034,NA,NA,"+",-0.261999242454496,"+",NA,NA,NA,NA,"+","+",NA,NA,0.324900881782964,14,-349.852618837452,729.35878098199,12.9115799238336,0.0002135864236352
"3181",-0.413675390164197,"+",NA,"+",-0.172332053435922,NA,"+","+","+",NA,NA,NA,"+",NA,0.349033878386659,18,-345.325980161476,729.387960322953,12.9407592647963,0.000210492889788353
"76",-1.32064750349083,"+","+",NA,-0.256613507752213,"+",NA,NA,NA,"+",NA,NA,NA,NA,0.330858324311733,15,-348.749259664879,729.395752531338,12.9485514731817,0.000209674383086989
"166",-0.861765902038773,"+",NA,"+",-0.1920149301131,NA,NA,NA,"+",NA,"+",NA,NA,NA,0.312497624905631,12,-352.121151375835,729.461052751669,13.0138516935127,0.00020293904448265
"8261",-0.467630328670301,"+",NA,NA,-0.159968711427266,NA,"+","+","+",NA,NA,NA,"+","+",0.348797297554705,18,-345.371103365894,729.478206731787,13.0310056736309,0.000201205881600883
"56",-0.779880400712865,"+","+","+",-0.237230195889985,NA,NA,"+","+",NA,NA,NA,NA,NA,0.330613453323947,15,-348.794790271619,729.48681374482,13.0396126866632,0.000200341851291862
"6691",-0.304805934184226,NA,NA,"+",-0.237723049576656,NA,"+","+",NA,NA,"+",NA,NA,"+",0.330449724554451,15,-348.825224931971,729.547683065524,13.1004820073673,0.000194336366095114
"7991",-0.356948598189161,NA,"+","+",-0.158853419151679,NA,"+","+",NA,NA,NA,NA,"+","+",0.354635529846715,19,-344.253127061863,729.558462959067,13.111261900911,0.000193291721245137
"9281",-0.251705495139514,"+","+","+",-0.0665524868007649,NA,"+","+",NA,NA,"+",NA,"+","+",0.378698041464113,23,-339.544677825425,729.59547809983,13.1482770416736,0.000189747261948128
"136",-0.837315256742411,"+","+","+",-0.217846762097106,NA,NA,NA,NA,NA,"+",NA,NA,NA,0.318070248307784,13,-351.106659750337,729.640770481066,13.1935694229096,0.000185498500001173
"182",-0.696054845695466,"+",NA,"+",-0.193915600312342,NA,NA,"+","+",NA,"+",NA,NA,NA,0.324107565918004,14,-349.998865822976,729.65127495304,13.2040738948831,0.000184526772209656
"161",-0.559945416487513,"+","+","+",-0.258208430153357,NA,"+",NA,NA,NA,NA,NA,NA,NA,0.324072987458961,14,-350.005236712032,729.66401673115,13.2168156729936,0.000183354909483545
"4481",-0.23532084363101,"+","+","+",-0.096263776289121,NA,"+","+","+",NA,"+",NA,"+",NA,0.378521423065712,23,-339.579845201179,729.665812851337,13.2186117931809,0.000183190319673191
"662",-0.642714959817566,"+",NA,"+",-0.244016816583257,NA,NA,"+",NA,NA,"+",NA,NA,"+",0.323995456695494,14,-350.019520227885,729.692583762856,13.2453827046993,0.000180754571918322
"40",-0.826389763798185,"+","+","+",-0.236034775092009,NA,NA,NA,"+",NA,NA,NA,NA,NA,0.317815139127136,13,-351.153269686752,729.733990353896,13.2867892957393,0.000177050828736697
"314",-1.14542354813327,"+",NA,NA,-0.370375280761393,"+",NA,"+","+",NA,NA,"+",NA,NA,0.335988702340222,16,-347.791770408201,729.742270975131,13.295069916975,0.000176319298736293
"135",-0.663379460497963,NA,"+","+",-0.217685765414981,NA,NA,NA,NA,NA,"+",NA,NA,NA,0.305623635216834,11,-353.362105624899,729.751448603884,13.3042475457279,0.000175512055764006
"152",-0.781701349164383,"+","+","+",-0.225008223920487,NA,NA,"+",NA,NA,"+",NA,NA,NA,0.329872846477494,15,-348.932402849237,729.762038900055,13.3148378418988,0.000174585149656265
"91",-0.707139603375036,NA,"+",NA,-0.255027046795285,"+",NA,"+",NA,"+",NA,NA,NA,NA,0.329646509473985,15,-348.974430581896,729.846094365373,13.3988933072168,0.000167399781636683
"8921",-0.271359662391854,"+","+",NA,-0.0440327242072944,NA,"+","+","+","+",NA,NA,"+","+",0.384008070379094,24,-338.48305432478,729.884141436445,13.4369403782889,0.000164245345338128
"6721",-0.013855557483072,"+","+","+",-0.24291623023634,NA,"+","+",NA,NA,"+",NA,NA,"+",0.359506747571442,20,-343.313162163851,730.013421101896,13.5662200437398,0.000153964412085255
"286",-1.1350783398853,"+",NA,"+",-0.313805804660131,"+",NA,"+",NA,NA,NA,"+",NA,NA,0.335207079713821,16,-347.938086530253,730.034903219236,13.5877021610796,0.00015231952105179
"1921",-0.0147860761312269,"+","+","+",-0.20723789641649,NA,"+","+","+",NA,"+",NA,NA,NA,0.359444089161709,20,-343.325294720028,730.037686214249,13.5904851560922,0.000152107716215214
"669",-0.824133291856988,NA,NA,"+",-0.237181637164875,"+",NA,"+",NA,NA,"+",NA,NA,"+",0.329114864100055,15,-349.073098344593,730.043429890766,13.5962288326099,0.00015167151410707
"5761",-0.041981947615832,"+","+","+",-0.274906578583138,NA,"+","+","+",NA,NA,NA,NA,"+",0.359382230772466,20,-343.337271294681,730.061639363556,13.6144383053997,0.000150296852414851
"6031",-0.232563027136866,NA,"+",NA,-0.258424279567386,NA,"+","+",NA,"+",NA,NA,NA,"+",0.341156133162702,17,-346.820425995997,730.079099003947,13.6318979457905,0.00014899049833187
"3001",-0.762050070876325,"+","+",NA,-0.183688869074592,NA,"+",NA,"+",NA,NA,NA,"+",NA,0.341147813853521,17,-346.821995463991,730.082237939933,13.635036881777,0.000148756845916395
"595",-0.598428294219815,NA,"+",NA,-0.261316615275717,NA,NA,"+",NA,"+",NA,NA,NA,"+",0.322924701400256,14,-350.216630819573,730.086804946232,13.6396038880753,0.000148417546733099
"60",-1.01532123413239,"+","+",NA,-0.235858617792613,"+",NA,"+","+",NA,NA,NA,NA,NA,0.334972278116296,16,-347.982009226289,730.122748611307,13.675547553151,0.000145774036946306
"540",-1.01354315317767,"+","+",NA,-0.284489798557288,"+",NA,"+",NA,NA,NA,NA,NA,"+",0.33474501437771,16,-348.024508211825,730.20774658238,13.7605455242236,0.000139708588859055
"3511",-0.361187838874738,NA,"+","+",-0.151979363487028,NA,"+","+",NA,"+",NA,NA,"+",NA,0.358883519130383,20,-343.433789303615,730.254675381424,13.8074743232673,0.000136468571895166
"8641",-0.20108573313025,"+","+","+",-0.0883322648519165,NA,"+","+",NA,"+",NA,NA,"+","+",0.382943024525222,24,-338.696659677705,730.311352142295,13.8641510841387,0.000132655556104494
"1421",-0.798192859606407,"+",NA,"+",-0.212012276272045,NA,"+",NA,NA,NA,"+",NA,NA,NA,0.316035551029206,13,-351.477962257851,730.383375496094,13.9361744379373,0.000127963400348341
"174",-1.36390453610947,"+",NA,"+",-0.195053254910051,"+",NA,NA,"+",NA,"+",NA,NA,NA,0.328179053328951,15,-349.246599291873,730.390431785328,13.9432307271715,0.000127512722462096
"2721",-0.714522603847047,"+","+","+",-0.187072478849981,NA,"+",NA,NA,NA,NA,NA,"+",NA,0.340315834009338,17,-346.978859069255,730.395965150462,13.9487640923052,0.000127160422811183
"3981",-1.01050237321521,"+",NA,"+",-0.107461702963707,NA,"+",NA,NA,NA,"+",NA,"+",NA,0.334235973044856,16,-348.119651736471,730.398033631673,13.9508325735163,0.000127028976323853
"461",-0.830242632287571,"+",NA,"+",-0.231830238425294,NA,"+",NA,"+",NA,NA,NA,NA,NA,0.315540067925238,13,-351.568225695488,730.563902371368,14.1167013132119,0.000116918937245704
"951",-0.18233199320711,NA,"+","+",-0.253157843076082,NA,"+","+",NA,"+",NA,NA,NA,NA,0.339761007380332,17,-347.083365910491,730.604978832935,14.1577777747785,0.00011454212048348
"271",-0.752934677950218,NA,"+","+",-0.306734388302164,"+",NA,NA,NA,NA,NA,"+",NA,NA,0.327514980676261,15,-349.369583897337,730.636400996254,14.1891999380979,0.000112756602809743
"87",-0.592274124190914,NA,"+","+",-0.258967617743929,NA,NA,"+",NA,"+",NA,NA,NA,NA,0.321263306534449,14,-350.521898946043,730.697341199172,14.2501401410157,0.000109372713215447
"284",-1.01764902421724,"+","+",NA,-0.314247829944126,"+",NA,"+",NA,NA,NA,"+",NA,NA,0.338809698394224,17,-347.26236519209,730.962977396133,14.5157763379763,9.5769411466513e-05
"3321",-0.779011812568952,"+","+",NA,-0.165566317683877,NA,"+",NA,NA,"+",NA,NA,"+",NA,0.344848320107351,18,-346.122067515971,730.980135031943,14.5329339737862,9.49513371970244e-05
